

,鸵鸟目,,Struthioniformes
----,鸵鸟科,Ostriches,Struthionidae
--------,鸵鸟属,,Struthio


,鹤鸵目,,Casuariiformes
----,鹤鸵科,Emu & Cassowaries,Casuariidae
--------,鸸鹋属,,Dromaius
--------,鹤鸵属,,Casuarius


,鹬鸵目,,Apterygiformes
----,鹬鸵科,Kiwis,Apterygidae
--------,鹬鸵属,,Apteryx


,美洲鸵鸟目,,Rheiformes
----,美洲鸵鸟科,Rheas,Rheidae
--------,美洲鸵鸟属,,Rhea


,䳍形目,,Tinamiformes
----,䳍科,Tinamous,Tinamidae
--------,山䳍属,,Tinamotis
--------,凤头䳍属,,Eudromia
--------,侏䳍属,,Taoniscus
--------,拟䳍属,,Nothura
--------,红翅䳍属,,Rhynchotus
--------,斑䳍属,,Nothoprocta
--------,林䳍属,,Nothocercus
--------,䳍属,,Tinamus
--------,穴䳍属,,Crypturellus


,雁形目,,Anseriformes
----,叫鸭科,Screamers,Anhimidae
--------,角叫鸭属,,Anhima
--------,冠叫鸭属,,Chauna
----,鹊雁科,Magpie Goose,Anseranatidae
--------,鹊雁属,,Anseranas
----,鸭科,Ducks & Swans & Geese,Anatidae
--------,白背鸭属,,Thalassornis
--------,树鸭属,,Dendrocygna
--------,麝鸭属,,Biziura
--------,棉凫属,,Nettapus
--------,澳洲斑鸭属,,Stictonetta
--------,黑头鸭属,,Heteronetta
--------,花脸硬尾鸭属,,Nomonyx
--------,硬尾鸭属,,Oxyura
--------,距翅雁属,,Plectropterus
--------,红耳鸭属,,Malacorhynchus
--------,扁嘴天鹅属,,Coscoroba
--------,澳洲灰雁属,,Cereopsis
--------,天鹅属,,Cygnus
--------,黑雁属,,Branta
--------,雁属,,Anser
--------,湍鸭属,,Merganetta
--------,环颈鸭属,,Callonetta
--------,栖鸭属,,Cairina
--------,鸳鸯属,,Aix
--------,绿翅雁属,,Neochen
--------,草雁属,,Chloephaga
--------,白腹麻鸭属,,Radjah
--------,埃及雁属,,Alopochen
--------,麻鸭属,,Tadorna
--------,长尾鸭属,,Clangula
--------,小绒鸭属,,Polysticta
--------,拉布拉多鸭属,,Camptorhynchus
--------,绒鸭属,,Somateria
--------,丑鸭属,,Histrionicus
--------,海番鸭属,,Melanitta
--------,鹊鸭属,,Bucephala
--------,斑头秋沙鸭属,,Mergellus
--------,棕胁秋沙鸭属,,Lophodytes
--------,秋沙鸭属,,Mergus
--------,瘤鸭属,,Sarkidiornis
--------,山鸭属,,Hymenolaimus
--------,鬃林鸭属,,Chenonetta
--------,蓝翅雁属,,Cyanochen
--------,黑头凫属,,Pteronetta
--------,云石斑鸭属,,Marmaronetta
--------,白翅栖鸭属,,Asarcornis
--------,粉头鸭属,,Rhodonessa
--------,狭嘴潜鸭属,,Netta
--------,潜鸭属,,Aythya
--------,花纹鸭属,,Salvadorina
--------,冠鸭属,,Lophonetta
--------,铜翅鸭属,,Speculanas
--------,巴西凫属,,Amazonetta
--------,船鸭属,,Tachyeres
--------,花脸鸭属,,Sibirionetta
--------,匙嘴鸭属,,Spatula
--------,亚鸭属,,Mareca
--------,鸭属,,Anas


,鸡形目,,Galliformes
----,塚雉科,Megapodes,Megapodiidae
--------,斑塚雉属,,Leipoa
--------,营塚雉属,,Talegalla
--------,大塚雉属,,Alectura
--------,冠塚雉属,,Aepypodius
--------,马累塚雉属,,Macrocephalon
--------,摩鹿加塚雉属,,Eulipoa
--------,塚雉属,,Megapodius
----,凤冠雉科,Guans & Curassows & Chachalacas,Cracidae
--------,山冠雉属,,Penelopina
--------,镰翅冠雉属,,Chamaepetes
--------,肉垂冠雉属,,Aburria
--------,鸣冠雉属,,Pipile
--------,冠雉属,,Penelope
--------,角冠雉属,,Oreophasis
--------,凤冠雉属,,Crax
--------,盔凤冠雉属,,Pauxi
--------,夜冠雉属,,Nothocrax
--------,盔嘴雉属,,Mitu
--------,小冠雉属,,Ortalis
----,珠鸡科,Guineafowl,Numididae
--------,珠鸡属,,Numida
--------,黑珠鸡属,,Agelastes
--------,鹫珠鸡属,,Acryllium
--------,冠珠鸡属,,Guttera
----,齿鹑科,New World Quail,Odontophoridae
--------,石鹑属,,Ptilopachus
--------,茶脸鹑属,,Rhynchortyx
--------,山翎鹑属,,Oreortyx
--------,须林鹑属,,Dendrortyx
--------,斑鹑属,,Philortyx
--------,齿鹑属,,Colinus
--------,翎鹑属,,Callipepla
--------,彩鹑属,,Cyrtonyx
--------,歌鹑属,,Dactylortyx
--------,林鹑属,,Odontophorus
----,雉科,Partridges & Pheasants & Grouse & Allies,Phasianidae
--------,坦桑尼亚鹑属,,Xenoperdix
--------,锈红林鹧鸪属,,Caloperdix
--------,冕鹧鸪属,,Rollulus
--------,黑鹑属,,Melanoperdix
--------,山鹧鸪属,,Arborophila
--------,雪鹑属,,Lerwa
--------,血雉属,,Ithaginis
--------,角雉属,,Tragopan
--------,雉鹑属,,Tetraophasis
--------,虹雉属,,Lophophorus
--------,长嘴山鹑属,,Rhizothera
--------,勺鸡属,,Pucrasia
--------,火鸡属,,Meleagris
--------,披肩榛鸡属,,Bonasa
--------,榛鸡属,,Tetrastes
--------,艾草松鸡属,,Centrocercus
--------,蓝镰翅鸡属,,Dendragapus
--------,草原松鸡属,,Tympanuchus
--------,雷鸟属,,Lagopus
--------,镰翅鸡属,,Falcipennis
--------,枞树镰翅鸡属,,Canachites
--------,松鸡属,,Tetrao
--------,琴鸡属,,Lyrurus
--------,山鹑属,,Perdix
--------,长尾雉属,,Syrmaticus
--------,锦鸡属,,Chrysolophus
--------,雉属,,Phasianus
--------,彩雉属,,Catreus
--------,马鸡属,,Crossoptilon
--------,鹇属,,Lophura
--------,大眼斑雉属,,Argusianus
--------,冠眼斑雉属,,Rheinardia
--------,刚果孔雀属,,Afropavo
--------,孔雀属,,Pavo
--------,树鹧鸪属,,Tropicoperdix
--------,红头林鹧鸪属,,Haematortyx
--------,鸡鹑属,,Galloperdix
--------,孔雀雉属,,Polyplectron
--------,竹鸡属,,Bambusicola
--------,原鸡属,,Gallus
--------,林鹧鸪属,,Peliperdix
--------,草原鹧鸪属,,Campocolinus
--------,环颈鹧鸪属,,Scleroptila
--------,灰鹧鸪属,,Ortygornis
--------,鹧鸪属,,Francolinus
--------,雪鸡属,,Tetraogallus
--------,沙鹑属,,Ammoperdix
--------,蓝胸鹑属,,Synoicus
--------,马岛鹑属,,Margaroperdix
--------,鹌鹑属,,Coturnix
--------,石鸡属,,Alectoris
--------,喜山鹑属,,Ophrysia
--------,丛林鹑属,,Perdicula
--------,鸡鹧鸪属,,Pternistis


,红鹳目,,Phoenicopteriformes
----,红鹳科,Flamingos,Phoenicopteridae
--------,小红鹳属,,Phoeniconaias
--------,安第斯红鹳属,,Phoenicoparrus
--------,红鹳属,,Phoenicopterus


,䴙䴘目,,Podicipediformes
----,䴙䴘科,Grebes,Podicipedidae
--------,南美䴙䴘属,,Rollandia
--------,小䴙䴘属,,Tachybaptus
--------,巨䴙䴘属,,Podilymbus
--------,灰头䴙䴘属,,Poliocephalus
--------,䴙䴘属,,Podiceps
--------,北美䴙䴘属,,Aechmophorus


,蕉鹃目,,Musophagiformes
----,蕉鹃科,Turacos,Musophagidae
--------,蓝蕉鹃属,,Corythaeola
--------,灰蕉鹃属,,Crinifer
--------,雉蕉鹃属,,Gallirex
--------,皇蕉鹃属,,Menelikornis
--------,冠蕉鹃属,,Tauraco


,鸨形目,,Otidiformes
----,鸨科,Bustards,Otididae
--------,鸨属,,Otis
--------,鹭鸨属,,Ardeotis
--------,波斑鸨属,,Chlamydotis
--------,黑冠鸨属,,Neotis
--------,蓝鸨属,,Eupodotis
--------,黑喉鸨属,,Heterotetrax
--------,冠鸨属,,Lophotis
--------,黑鸨属,,Afrotis
--------,黑腹鸨属,,Lissotis
--------,孟加拉鸨属,,Houbaropsis
--------,凤头鸨属,,Sypheotides
--------,小鸨属,,Tetrax


,鹃形目,,Cuculiformes
----,杜鹃科,Cuckoos,Cuculidae
--------,圭拉鹃属,,Guira
--------,犀鹃属,,Crotophaga
--------,纵纹鹃属,,Tapera
--------,雉鹃属,,Dromococcyx
--------,小地鹃属,,Morococcyx
--------,走鹃属,,Geococcyx
--------,鸡鹃属,,Neomorphus
--------,地鹃属,,Carpococcyx
--------,马岛鹃属,,Coua
--------,鸦鹃属,,Centropus
--------,棕胸地鹃属,,Rhinortha
--------,黄嘴鹃属,,Ceuthmochares
--------,短嘴地鹃属,,Taccocua
--------,红嘴地鹃属,,Zanclostomus
--------,红脸地鹃属,,Phaenicophaeus
--------,火红嘴地鹃属,,Rhamphococcyx
--------,蓬冠地鹃属,,Dasylophus
--------,凤头鹃属,,Clamator
--------,小棕鹃属,,Coccycua
--------,棕鹃属,,Piaya
--------,美洲鹃属,,Coccyzus
--------,圣赫勒拿杜鹃属,,Nannococcyx
--------,厚嘴杜鹃属,,Pachycoccyx
--------,黑顶鹃属,,Microdynamis
--------,噪鹃属,,Eudynamys
--------,长尾噪鹃属,,Urodynamis
--------,沟嘴鹃属,,Scythrops
--------,翠金鹃属,,Chrysococcyx
--------,金鹃属,,Chalcites
--------,淡色杜鹃属,,Heteroscenes
--------,白顶噪鹃属,,Caliechthrus
--------,八声杜鹃属,,Cacomantis
--------,长尾鹃属,,Cercococcyx
--------,乌鹃属,,Surniculus
--------,鹰鹃属,,Hierococcyx
--------,杜鹃属,,Cuculus


,拟鹑目,,Mesitornithiformes
----,拟鹑科,Mesites,Mesitornithidae
--------,本氏拟鹑属,,Monias
--------,拟鹑属,,Mesitornis


,沙鸡目,,Pterocliformes
----,沙鸡科,Sandgrouse,Pteroclidae
--------,毛腿沙鸡属,,Syrrhaptes
--------,沙鸡属,,Pterocles


,鸽形目,,Columbiformes
----,鸠鸽科,Doves & Pigeons,Columbidae
--------,蓝地鸠属,,Claravis
--------,长尾地鸠属,,Uropelia
--------,紫胸地鸠属,,Paraclaravis
--------,裸脸地鸠属,,Metriopelia
--------,南美鸠属,,Columbina
--------,蓝头鹑鸠属,,Starnoenas
--------,凤头鹑鸠属,,Geotrygon
--------,绿背鹑鸠属,,Leptotrygon
--------,棕翅鸠属,,Leptotila
--------,哀鸽属,,Zenaida
--------,黄额鹑鸠属,,Zentrygon
--------,长尾鸠属,,Reinwardtoena
--------,蕉鸠属,,Turacoena
--------,鹃鸠属,,Macropygia
--------,旅鸽属,,Ectopistes
--------,美洲鸽属,,Patagioenas
--------,副斑鸠属,,Spilopelia
--------,粉红鸽属,,Nesoenas
--------,非洲鸽属,,Aplopelia
--------,斑鸠属,,Streptopelia
--------,鸽属,,Columba
--------,金鸠属,,Chalcophaps
--------,小长尾鸠属,,Oena
--------,森鸠属,,Turtur
--------,绿鸠属,,Treron
--------,褐果鸠属,,Phapitreron
--------,鸡鸠属,,Gallicolumba
--------,白顶地鸽属,,Henicophaps
--------,紫珠鸠属,,Pampusana
--------,巨地鸠属,,Leucosarcia
--------,铜翅鸠属,,Phaps
--------,姬地鸠属,,Geopelia
--------,岩鸠属,,Petrophassa
--------,冠鸠属,,Ocyphaps
--------,鹑鸠属,,Geophaps
--------,厚嘴地鸠属,,Trugon
--------,冕鸠属,,Microgoura
--------,雉鸠属,,Otidiphaps
--------,凤冠鸠属,,Goura
--------,齿嘴鸠属,,Didunculus
--------,渡渡鸟属,,Raphus
--------,罗岛渡渡鸟属,,Pezophaps
--------,蓑鸠属,,Caloenas
