非洲鸵鸟,Common Ostrich,Struthio camelus,最大（175-275厘米）的鸟类;;成年雄鸟羽毛黑白色，皮肤呈粉红色，繁殖期羽毛呈红色;;雌鸟和幼鸟为暗棕灰色;;⚑似灰颈鸵鸟，但分布无重叠，且后者具深灰色的皮肤和更淡色的眼;;常在开放和少树的地方小群活动；每天可以走上几公里；短粗的翅虽无法助飞，却用于壮观的繁殖炫耀行为与沙浴;;低沉洪亮的鸣叫声可以传播很远的距离;
灰颈鸵鸟,Somali Ostrich,Struthio molybdophanes,现存的两种鸵鸟之一;;雄鸟具蓝灰色的颈和腿，在繁殖时，喙和腿前部会变成粉红色;;雌鸟具暗淡的粉红色腿和颈;;⚑极似非洲鸵鸟，但雄鸟腿和颈为蓝色，且颈底部无宽的白色环；雌鸟可通过淡色的眼区分;;常成小群见于各种干燥的栖息地，包括草地、荆棘丛和半沙漠;;叫声深沉，似狮子般的轰鸣声;
鸸鹋,Emu,Dromaius novaehollandiae,澳大利亚特有的大型（150-190厘米）鸟类;;⚑幼鸟（右下图）羽色比成鸟更深，颈部羽毛也更浓密;;⚑雏鸟（左下图）全身带有明显条纹;;偏好开阔地带，常以松散群体活动，群体规模从几只到数百只不等;,澳大利亚特有
侏鹤鸵,Dwarf Cassowary,Casuarius bennetti,最小的（100-110厘米）鹤鸵;;成鸟羽毛蓬松且呈黑色，颈部呈亮蓝色，后颈下部有一块红色斑块；另需注意其低矮圆润的骨盔;;腿脚粗壮有力，有三个脚趾，裸皮的颜色可随心情而变化;;⚑幼鸟（左下图）为棕色;;⚑与双垂鹤鸵的区别在于较小的体型，相对较小的三角形饰冠，喉部没有明显的肉垂;;⚑似某些无骨盔的单垂鹤鸵，但通常颜色较黑，喉部没有大的黄色或红色区域;;栖息于丘陵及山地森林，偶尔也出现在低地雨林，尤其是在其他鹤鸵不分布的区域；习性极为隐秘，鲜少被观察到，主要在森林地面取食落果;,新几内亚岛近特有
双垂鹤鸵,Southern Cassowary,Casuarius casuarius,巨型（130-170厘米）不会飞的鸟;;腿脚粗壮有力，有三个脚趾;;羽毛呈深色且富有光泽，裸皮的颜色可随心情而变化;;彩色的头部生有一块大型角状骨板，颈部则有两个红色垂肉。;;⚑雏鸟（右下图）整体棕色，带有清晰显著的条纹;;⚑幼鸟（左下图）似成鸟，但羽色更偏棕色，且头部骨板尚未长出或仍在发育中;;⚑与侏鹤鸵相比，体型更大，顶冠通常更大且非三角形，喉部具红色肉垂;;⚑与单垂鹤鸵相比，侧颈部缺少黄色或红色的区域;;主要栖息于茂密的热带雨林，偶尔可见其横穿道路或出现在路边;
单垂鹤鸵,Northern Cassowary,Casuarius unappendiculatus,低地雨林巨型（120-150厘米）不会飞的鸟类;;羽毛呈蓬松的黑色，头部为蓝色，颈基部周围呈鲜红色或黄色；头冠硕大且后部扁平，喉部生有一根垂肉;;⚑似双垂鹤鸵，但喉部仅具单个垂肉（而非两个），头冠形状不同，且颈基部通常环绕着一圈鲜红色或黄色;;性羞怯且鲜为人知，与其他鹤鸵一样，主要在森林地面取食落果;,新几内亚岛特有
褐几维,Southern Brown Kiwi,Apteryx australis,大型（50-65厘米）几维鸟;;⚑整体棕红色，带有棕黑色条纹;;栖息于原始森林、草丛和附近的农田;;觅食会发出清晰的嗅探声；雄鸟的鸣唱是一连串清晰的哨声，雌鸟发出刺耳的嗓音;,新西兰南岛特有
北岛褐几维,North Island Brown Kiwi,Apteryx mantelli,大型（50-65厘米）深灰褐色几维鸟;;带红棕色条纹;;⚑分布于新西兰北岛唯一的几维鸟;;见于森林、灌丛和临近的农田;;雄鸟鸣唱是一连串清晰的上升哨声，雌鸟是刺耳的嘶吼；两性都会多次重复它们的叫声；有时会同时呼叫;,新西兰北岛特有
大斑几维,Great Spotted Kiwi,Apteryx maxima,大型（50-60厘米）浅灰棕色几维鸟;;⚑雌鸟比雄鸟具有更大和更长的喙;;⚑与小斑几维不同，其体型更大，外观更灰暗，羽毛纹理更规则，黑点更大;;雄鸟会发出一系列高亢的口哨声；雌鸟为较低的上升哨音；经常二重唱;,新西兰南岛特有
小斑几维,Little Spotted Kiwi,Apteryx owenii,最小（35-45厘米）的几维鸟;;⚑呈浅灰褐色，身上带有白色横纹或“斑点”;;仅分布于无捕食者的近海岛屿保护区和惠林顿的西兰蒂亚保护区;;雄鸟会发出一系列高亢的哨声；雌鸟为较低的上升哨音；经常二重唱;,新西兰特有
白眶几维,Okarito Kiwi,Apteryx rowi,中型（55厘米）深灰褐色几维鸟;;⚑具褐色条纹，脸上常带有白色块斑;;仅分布于新西兰的Okarito附近的原始森林;;夜间觅食时可听到它们的鸣唱，雄鸟是一连串清晰的上升哨声；雌鸟是刺耳的嘶吼；两性都会多次重复呼叫，有时会同时呼叫;,新西兰南岛特有
