
 
STRUTHIONIFORMES: Struthionidae

Common Ostrich	Struthio camelus	Extirpated
 
ANSERIFORMES: Anatidae

Fulvous Whistling Duck	Dendrocygna bicolor	Rare/Accidental
Lesser Whistling Duck	Dendrocygna javanica	Rare/Accidental
Red-breasted Goose	Branta ruficollis	Rare/Accidental Vulnerable
Barnacle Goose	Branta leucopsis	Rare/Accidental
Greylag Goose	Anser anser	
Taiga Bean Goose	Anser fabalis	Rare/Accidental
Tundra Bean Goose	Anser serrirostris	Rare/Accidental
Greater White-fronted Goose	Anser albifrons	
Lesser White-fronted Goose	Anser erythropus	Rare/Accidental Vulnerable
Mute Swan	Cygnus olor	
Tundra Swan	Cygnus columbianus	Rare/Accidental
Whooper Swan	Cygnus cygnus	Rare/Accidental
Egyptian Goose	Alopochen aegyptiaca	Introduced species
Common Shelduck	Tadorna tadorna	
Ruddy Shelduck	Tadorna ferruginea	
Muscovy Duck	Cairina moschata	Introduced species
Cotton Pygmy Goose	Nettapus coromandelianus	Rare/Accidental
Baikal Teal	Sibirionetta formosa	Rare/Accidental
Garganey	Spatula querquedula	
Northern Shoveler	Spatula clypeata	
Gadwall	Mareca strepera	
Eurasian Wigeon	Mareca penelope	
Mallard	Anas platyrhynchos	
Cape Teal	Anas capensis	Rare/Accidental
Red-billed Teal	Anas erythrorhyncha	Rare/Accidental
Northern Pintail	Anas acuta	
Eurasian Teal	Anas crecca	
Marbled Duck	Marmaronetta angustirostris	Vulnerable
Red-crested Pochard	Netta rufina	
Southern Pochard	Netta erythrophthalma	Rare/Accidental
Common Pochard	Aythya ferina	Vulnerable
Ferruginous Duck	Aythya nyroca	Near-threatened
Tufted Duck	Aythya fuligula	
Greater Scaup	Aythya marila	Rare/Accidental
Common Eider	Somateria mollissima	Rare/Accidental Near-threatened
Velvet Scoter	Melanitta fusca	Rare/Accidental Vulnerable
Long-tailed Duck	Clangula hyemalis	Rare/Accidental Vulnerable
Common Goldeneye	Bucephala clangula	Rare/Accidental
Smew	Mergellus albellus	Rare/Accidental
Common Merganser	Mergus merganser	Rare/Accidental
Red-breasted Merganser	Mergus serrator	
Ruddy Duck	Oxyura jamaicensis	Introduced species
White-headed Duck	Oxyura leucocephala	Endangered
 
GALLIFORMES: Phasianidae

Black Francolin	Francolinus francolinus	
Sand Partridge	Ammoperdix heyi	
Common Quail	Coturnix coturnix	
Chukar Partridge	Alectoris chukar	
 
CAPRIMULGIFORMES: Caprimulgidae

European Nightjar	Caprimulgus europaeus	
Egyptian Nightjar	Caprimulgus aegyptius	
Nubian Nightjar	Caprimulgus nubicus	
 
APODIFORMES: Apodidae

Alpine Swift	Tachymarptis melba	
Common Swift	Apus apus	
Pallid Swift	Apus pallidus	
Pacific Swift	Apus pacificus	Rare/Accidental
Little Swift	Apus affinis	
 
OTIDIFORMES: Otididae

Great Bustard	Otis tarda	Rare/Accidental Vulnerable
Macqueen's Bustard	Chlamydotis macqueenii	Vulnerable
Little Bustard	Tetrax tetrax	Near-threatened
 
CUCULIFORMES: Cuculidae

Great Spotted Cuckoo	Clamator glandarius	
Diederik Cuckoo	Chrysococcyx caprius	Rare/Accidental
Himalayan Cuckoo	Cuculus saturatus	Rare/Accidental
Oriental Cuckoo	Cuculus optatus	Rare/Accidental
Common Cuckoo	Cuculus canorus	
 
PTEROCLIFORMES: Pteroclidae

Pin-tailed Sandgrouse	Pterocles alchata	
Spotted Sandgrouse	Pterocles senegallus	
Black-bellied Sandgrouse	Pterocles orientalis	
Crowned Sandgrouse	Pterocles coronatus	
Lichtenstein's Sandgrouse	Pterocles lichtensteinii	
 
COLUMBIFORMES: Columbidae

Rock Dove	Columba livia	
Stock Dove	Columba oenas	
Common Wood Pigeon	Columba palumbus	
European Turtle Dove	Streptopelia turtur	Vulnerable
Oriental Turtle Dove	Streptopelia orientalis	Rare/Accidental
Eurasian Collared Dove	Streptopelia decaocto	
African Collared Dove	Streptopelia roseogrisea	Rare/Accidental
Laughing Dove	Spilopelia senegalensis	
Namaqua Dove	Oena capensis	
 
GRUIFORMES: Rallidae

Water Rail	Rallus aquaticus	
African Crake	Crecopsis egregia	Rare/Accidental
Corn Crake	Crex crex	
Spotted Crake	Porzana porzana	
Common Moorhen	Gallinula chloropus	
Eurasian Coot	Fulica atra	
African Swamphen	Porphyrio madagascariensis	Rare/Accidental
Grey-headed Swamphen	Porphyrio poliocephalus	Rare/Accidental
Baillon's Crake	Zapornia pusilla	
Little Crake	Zapornia parva	
 
GRUIFORMES: Gruidae

Demoiselle Crane	Grus virgo	
Common Crane	Grus grus	
 
PODICIPEDIFORMES: Podicipedidae

Little Grebe	Tachybaptus ruficollis	
Red-necked Grebe	Podiceps grisegena	Rare/Accidental
Great Crested Grebe	Podiceps cristatus	
Horned Grebe	Podiceps auritus	Rare/Accidental Vulnerable
Black-necked Grebe	Podiceps nigricollis	
 
PHOENICOPTERIFORMES: Phoenicopteridae

Greater Flamingo	Phoenicopterus roseus	
Lesser Flamingo	Phoeniconaias minor	Rare/Accidental Near-threatened
 
CHARADRIIFORMES: Burhinidae

Eurasian Stone-curlew	Burhinus oedicnemus	
Senegal Thick-knee	Burhinus senegalensis	Rare/Accidental
 
CHARADRIIFORMES: Haematopodidae

Eurasian Oystercatcher	Haematopus ostralegus	Near-threatened
 
CHARADRIIFORMES: Recurvirostridae

Black-winged Stilt	Himantopus himantopus	
Pied Avocet	Recurvirostra avosetta	
 
CHARADRIIFORMES: Charadriidae

Northern Lapwing	Vanellus vanellus	Near-threatened
Spur-winged Lapwing	Vanellus spinosus	
Black-headed Lapwing	Vanellus tectus	Rare/Accidental
Red-wattled Lapwing	Vanellus indicus	Rare/Accidental
Sociable Lapwing	Vanellus gregarius	Critically endangered
White-tailed Lapwing	Vanellus leucurus	
European Golden Plover	Pluvialis apricaria	
Pacific Golden Plover	Pluvialis fulva	Rare/Accidental
American Golden Plover	Pluvialis dominica	Rare/Accidental
Grey Plover	Pluvialis squatarola	
Common Ringed Plover	Charadrius hiaticula	
Little Ringed Plover	Charadrius dubius	
Kittlitz's Plover	Charadrius pecuarius	Rare/Accidental
Three-banded Plover	Charadrius tricollaris	Rare/Accidental
Kentish Plover	Charadrius alexandrinus	
Lesser Sand Plover	Charadrius mongolus	Rare/Accidental
Greater Sand Plover	Charadrius leschenaultii	
Caspian Plover	Charadrius asiaticus	
Eurasian Dotterel	Charadrius morinellus	
 
CHARADRIIFORMES: Rostratulidae

Greater Painted-snipe	Rostratula benghalensis	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

Eurasian Whimbrel	Numenius phaeopus	
Hudsonian Whimbrel	Numenius hudsonicus	Rare/Accidental
Slender-billed Curlew	Numenius tenuirostris	Rare/Accidental Critically endangered
Eurasian Curlew	Numenius arquata	Near-threatened
Bar-tailed Godwit	Limosa lapponica	Near-threatened
Black-tailed Godwit	Limosa limosa	Near-threatened
Ruddy Turnstone	Arenaria interpres	
Great Knot	Calidris tenuirostris	Rare/Accidental Endangered
Red Knot	Calidris canutus	Near-threatened
Ruff	Calidris pugnax	
Broad-billed Sandpiper	Calidris falcinellus	
Curlew Sandpiper	Calidris ferruginea	Near-threatened
Temminck's Stint	Calidris temminckii	
Long-toed Stint	Calidris subminuta	Rare/Accidental
Red-necked Stint	Calidris ruficollis	Rare/Accidental Near-threatened
Sanderling	Calidris alba	
Dunlin	Calidris alpina	
Baird's Sandpiper	Calidris bairdii	Rare/Accidental
Little Stint	Calidris minuta	
White-rumped Sandpiper	Calidris fuscicollis	Rare/Accidental
Buff-breasted Sandpiper	Calidris subruficollis	Rare/Accidental Near-threatened
Pectoral Sandpiper	Calidris melanotos	Rare/Accidental
Semipalmated Sandpiper	Calidris pusilla	Rare/Accidental Near-threatened
Long-billed Dowitcher	Limnodromus scolopaceus	Rare/Accidental
Eurasian Woodcock	Scolopax rusticola	
Jack Snipe	Lymnocryptes minimus	
Pin-tailed Snipe	Gallinago stenura	Rare/Accidental
Great Snipe	Gallinago media	Near-threatened
Common Snipe	Gallinago gallinago	
Terek Sandpiper	Xenus cinereus	Rare/Accidental
Wilson's Phalarope	Phalaropus tricolor	Rare/Accidental
Red-necked Phalarope	Phalaropus lobatus	
Red Phalarope	Phalaropus fulicarius	Rare/Accidental
Common Sandpiper	Actitis hypoleucos	
Green Sandpiper	Tringa ochropus	
Lesser Yellowlegs	Tringa flavipes	Rare/Accidental
Common Redshank	Tringa totanus	
Marsh Sandpiper	Tringa stagnatilis	
Wood Sandpiper	Tringa glareola	
Spotted Redshank	Tringa erythropus	
Common Greenshank	Tringa nebularia	
 
CHARADRIIFORMES: Dromadidae

Crab-plover	Dromas ardeola	Rare/Accidental
 
CHARADRIIFORMES: Glareolidae

Cream-colored Courser	Cursorius cursor	
Collared Pratincole	Glareola pratincola	
Oriental Pratincole	Glareola maldivarum	Rare/Accidental
Black-winged Pratincole	Glareola nordmanni	Near-threatened
 
CHARADRIIFORMES: Laridae

African Skimmer	Rynchops flavirostris	Rare/Accidental
Black-legged Kittiwake	Rissa tridactyla	Vulnerable
Sabine's Gull	Xema sabini	Rare/Accidental
Slender-billed Gull	Chroicocephalus genei	
Brown-headed Gull	Chroicocephalus brunnicephalus	Rare/Accidental
Black-headed Gull	Chroicocephalus ridibundus	
Grey-headed Gull	Chroicocephalus cirrocephalus	Rare/Accidental
Little Gull	Hydrocoloeus minutus	
Franklin's Gull	Leucophaeus pipixcan	Rare/Accidental
Audouin's Gull	Ichthyaetus audouinii	Rare/Accidental Vulnerable
Mediterranean Gull	Ichthyaetus melanocephalus	
Pallas's Gull	Ichthyaetus ichthyaetus	
White-eyed Gull	Ichthyaetus leucophthalmus	
Sooty Gull	Ichthyaetus hemprichii	Rare/Accidental
Common Gull	Larus canus	
Great Black-backed Gull	Larus marinus	Rare/Accidental
Glaucous Gull	Larus hyperboreus	Rare/Accidental
European Herring Gull	Larus argentatus	Rare/Accidental
Caspian Gull	Larus cachinnans	
Yellow-legged Gull	Larus michahellis	
Armenian Gull	Larus armenicus	
Lesser Black-backed Gull	Larus fuscus	
Gull-billed Tern	Gelochelidon nilotica	
Caspian Tern	Hydroprogne caspia	
