ANSERIFORMES: Anatidae

Greater White-fronted Goose,Anser albifrons,Rare
 
CUCULIFORMES: Cuculidae

Groove-billed Ani,Crotophaga sulcirostris,Rare
 
COLUMBIFORMES: Columbidae

Rock Dove,Columba livia,Introduced species
Inca Dove,Columbina inca,
Common Ground Dove,Columbina passerina,
Mourning Dove,Zenaida macroura,
Socorro Dove,Zenaida graysoni,Endemic Extinct in the wild
White-winged Dove,Zenaida asiatica,Rare
 
PODICIPEDIFORMES: Podicipedidae

Pied-billed Grebe,Podilymbus podiceps,Rare
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover,Pluvialis fulva,Rare
Grey Plover,Pluvialis squatarola,Rare
Semipalmated Plover,Charadrius semipalmatus,Rare
Killdeer,Charadrius vociferus,Rare
 
CHARADRIIFORMES: Scolopacidae

Hudsonian Whimbrel,Numenius hudsonicus,
Ruddy Turnstone,Arenaria interpres,
Surfbird,Calidris virgata,Rare
Sanderling,Calidris alba,Rare
Least Sandpiper,Calidris minutilla,Rare
Pectoral Sandpiper,Calidris melanotos,
Western Sandpiper,Calidris mauri,Rare
Red-necked Phalarope,Phalaropus lobatus,Rare
Red Phalarope,Phalaropus fulicarius,
Spotted Sandpiper,Actitis macularius,
Wandering Tattler,Tringa incana,
Willet,Tringa semipalmata,Rare
 
CHARADRIIFORMES: Laridae

Brown Noddy,Anous stolidus,
White Tern,Gygis alba,Rare
Laughing Gull,Leucophaeus atricilla,Rare
Franklin's Gull,Leucophaeus pipixcan,Rare
Heermann's Gull,Larus heermanni,Rare
Ring-billed Gull,Larus delawarensis,
California Gull,Larus californicus,
Glaucous-winged Gull,Larus glaucescens,Rare
American Herring Gull,Larus smithsonianus,
Sooty Tern,Onychoprion fuscatus,
Common Tern,Sterna hirundo,
Black Tern,Chlidonias niger,
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger,Stercorarius pomarinus,Rare
Parasitic Jaeger,Stercorarius parasiticus,
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird,Phaethon aethereus,
 
PROCELLARIIFORMES: Diomedeidae

Laysan Albatross,Phoebastria immutabilis,Rare
Black-footed Albatross,Phoebastria nigripes,Near-threatened
 
PROCELLARIIFORMES: Hydrobatidae

Wedge-rumped Storm Petrel,Oceanodroma tethys,
Leach's Storm Petrel,Oceanodroma leucorhoa,Rare
Townsend's Storm Petrel,Oceanodroma socorroensis,Endemic
Black Storm Petrel,Oceanodroma melania,
 
PROCELLARIIFORMES: Procellariidae

Kermadec Petrel,Pterodroma neglecta,
Wedge-tailed Shearwater,Ardenna pacifica,Rare
Buller's Shearwater,Ardenna bulleri,Rare
Sooty Shearwater,Ardenna grisea,Near-threatened
Pink-footed Shearwater,Ardenna creatopus,Rare
Townsend's Shearwater,Puffinus auricularis,Endemic
Audubon's Shearwater,Puffinus lherminieri,
 
SULIFORMES: Fregatidae

Magnificent Frigatebird,Fregata magnificens,
Great Frigatebird,Fregata minor,Rare
 
SULIFORMES: Sulidae

Blue-footed Booby,Sula nebouxii,
Masked Booby,Sula dactylatra,
Red-footed Booby,Sula sula,
Brown Booby,Sula leucogaster,
 
PELECANIFORMES: Ardeidae

Black-crowned Night Heron,Nycticorax nycticorax,
Yellow-crowned Night Heron,Nyctanassa violacea,
Western Cattle Egret,Bubulcus ibis,Rare
Great Blue Heron,Ardea herodias,
Great Egret,Ardea alba,Rare
Tricolored Heron,Egretta tricolor,Rare
Snowy Egret,Egretta thula,Rare
 
PELECANIFORMES: Pelecanidae

Brown Pelican,Pelecanus occidentalis,Rare
 
ACCIPITRIFORMES: Pandionidae

Western Osprey,Pandion haliaetus,Rare
 
ACCIPITRIFORMES: Accipitridae

Sharp-shinned Hawk,Accipiter striatus,Rare
Cooper's Hawk,Accipiter cooperii,Rare
Northern Harrier,Circus hudsonius,Rare
Red-tailed Hawk,Buteo jamaicensis,
 
STRIGIFORMES: Tytonidae

American Barn Owl,Tyto furcata,Rare
 
STRIGIFORMES: Strigidae

Elf Owl,Micrathene whitneyi,Extirpated
 
CORACIIFORMES: Alcedinidae

Belted Kingfisher,Megaceryle alcyon,Rare
 
PICIFORMES: Picidae

Red-naped Sapsucker,Sphyrapicus nuchalis,Rare
 
FALCONIFORMES: Falconidae

American Kestrel,Falco sparverius,Rare
Merlin,Falco columbarius,
Peregrine Falcon,Falco peregrinus,Rare
 
PSITTACIFORMES: Psittacidae

Socorro Parakeet,Psittacara brevipes,Endemic
 
PASSERIFORMES: Tyrannidae

Vermilion Flycatcher,Pyrocephalus obscurus,Rare
Tropical Kingbird,Tyrannus melancholicus,
 
PASSERIFORMES: Bombycillidae

Cedar Waxwing,Bombycilla cedrorum,Rare
 
PASSERIFORMES: Hirundinidae

Tree Swallow,Tachycineta bicolor,
Northern Rough-winged Swallow,Stelgidopteryx serripennis,Rare
Barn Swallow,Hirundo rustica,Rare
 
PASSERIFORMES: Troglodytidae

Socorro Wren,Troglodytes sissonii,Endemic
 
PASSERIFORMES: Mimidae

Grey Catbird,Dumetella carolinensis,Rare
Northern Mockingbird,Mimus polyglottos,
Socorro Mockingbird,Mimus graysoni,Endemic
 
PASSERIFORMES: Turdidae

Swainson's Thrush,Catharus ustulatus,Rare
 
PASSERIFORMES: Passeridae

House Sparrow,Passer domesticus,Rare
 
PASSERIFORMES: Motacillidae

Buff-bellied Pipit,Anthus rubescens,Rare
 
PASSERIFORMES: Fringillidae

House Finch,Haemorhous mexicanus,
 
PASSERIFORMES: Passerellidae

Lincoln's Sparrow,Melospiza lincolnii,Rare
Lark Sparrow,Chondestes grammacus,Rare
Spotted Towhee,Pipilo maculatus,
 
PASSERIFORMES: Icteridae

Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Rare
Hooded Oriole,Icterus cucullatus,
Brown-headed Cowbird,Molothrus ater,
 
PASSERIFORMES: Parulidae

Northern Waterthrush,Parkesia noveboracensis,
Prothonotary Warbler,Protonotaria citrea,Rare
Tennessee Warbler,Leiothlypis peregrina,Rare
Orange-crowned Warbler,Leiothlypis celata,Rare
