GALLIFORMES: Odontophoridae

California Quail,Callipepla californica,
 
ANSERIFORMES: Anatidae

Brant Goose,Branta bernicla,Rare
Cackling Goose,Branta hutchinsii,
Greater White-fronted Goose,Anser albifrons,Rare
Cinnamon Teal,Spatula cyanoptera,Rare
Blue-winged Teal,Spatula discors,Rare
Northern Shoveler,Spatula clypeata,Rare
Mallard,Anas platyrhynchos,Rare
Northern Pintail,Anas acuta,Rare
Ring-necked Duck,Aythya collaris,Rare
Lesser Scaup,Aythya affinis,Rare
Red-breasted Merganser,Mergus serrator,Rare
 
APODIFORMES: Apodidae

Vaux's Swift,Chaetura vauxi,Rare
White-throated Swift,Aeronautes saxatalis,Extirpated
 
APODIFORMES: Trochilidae

Anna's Hummingbird,Calypte anna,
 
COLUMBIFORMES: Columbidae

Rock Dove,Columba livia,Introduced species
Eurasian Collared Dove,Streptopelia decaocto,Introduced species
Mourning Dove,Zenaida macroura,
White-winged Dove,Zenaida asiatica,Rare
 
PODICIPEDIFORMES: Podicipedidae

Pied-billed Grebe,Podilymbus podiceps,Rare
Black-necked Grebe,Podiceps nigricollis,
Western Grebe,Aechmophorus occidentalis,
Clark's Grebe,Aechmophorus clarkii,
 
CHARADRIIFORMES: Charadriidae

Pacific Golden Plover,Pluvialis fulva,Rare
Semipalmated Plover,Charadrius semipalmatus,
Killdeer,Charadrius vociferus,
 
CHARADRIIFORMES: Scolopacidae

Long-billed Curlew,Numenius americanus,Rare
Ruddy Turnstone,Arenaria interpres,
Black Turnstone,Arenaria melanocephala,
Sanderling,Calidris alba,
Pectoral Sandpiper,Calidris melanotos,
Western Sandpiper,Calidris mauri,
Short-billed Dowitcher,Limnodromus griseus,
Wilson's Snipe,Gallinago delicata,
Red Phalarope,Phalaropus fulicarius,
Spotted Sandpiper,Actitis macularius,
Wandering Tattler,Tringa incana,
Willet,Tringa semipalmata,
Greater Yellowlegs,Tringa melanoleuca,
 
CHARADRIIFORMES: Laridae

Black-legged Kittiwake,Rissa tridactyla,Rare
Sabine's Gull,Xema sabini,
Bonaparte's Gull,Chroicocephalus philadelphia,Rare
Laughing Gull,Leucophaeus atricilla,Rare
Franklin's Gull,Leucophaeus pipixcan,Rare
Heermann's Gull,Larus heermanni,Near-threatened
Ring-billed Gull,Larus delawarensis,
California Gull,Larus californicus,
Glaucous-winged Gull,Larus glaucescens,
Western Gull,Larus occidentalis,
Yellow-footed Gull,Larus livens,Endemic
Iceland Gull,Larus glaucoides,
American Herring Gull,Larus smithsonianus,
Royal Tern,Thalasseus maximus,
Least Tern,Sternula antillarum,
Arctic Tern,Sterna paradisaea,
 
CHARADRIIFORMES: Stercorariidae

Pomarine Jaeger,Stercorarius pomarinus,
Parasitic Jaeger,Stercorarius parasiticus,
Long-tailed Jaeger,Stercorarius longicaudus,
 
CHARADRIIFORMES: Alcidae

Guadalupe Murrelet,Synthliboramphus hypoleucus,Endangered
Scripps's Murrelet,Synthliboramphus scrippsi,Rare
Craveri's Murrelet,Synthliboramphus craveri,Endemic
Cassin's Auklet,Ptychoramphus aleuticus,Near-threatened
Rhinoceros Auklet,Cerorhinca monocerata,
 
PHAETHONTIFORMES: Phaethontidae

Red-billed Tropicbird,Phaethon aethereus,
Red-tailed Tropicbird,Phaethon rubricauda,
 
GAVIIFORMES: Gaviidae

Pacific Loon,Gavia pacifica,
Common Loon,Gavia immer,
 
PROCELLARIIFORMES: Diomedeidae

Laysan Albatross,Phoebastria immutabilis,Near-threatened
Black-footed Albatross,Phoebastria nigripes,Near-threatened
Short-tailed Albatross,Phoebastria albatrus,Rare
 
PROCELLARIIFORMES: Hydrobatidae

Least Storm Petrel,Oceanodroma microsoma,
Wedge-rumped Storm Petrel,Oceanodroma tethys,
Leach's Storm Petrel,Oceanodroma leucorhoa,Rare
Townsend's Storm Petrel,Oceanodroma socorroensis,Endemic
Ainley's Storm Petrel,Oceanodroma cheimomnestes,Endemic
Black Storm Petrel,Oceanodroma melania,Rare
Guadalupe Storm Petrel,Oceanodroma macrodactyla,Endemic
Ashy Storm Petrel,Oceanodroma homochroa,Rare
 
PROCELLARIIFORMES: Procellariidae

Northern Fulmar,Fulmarus glacialis,
Cook's Petrel,Pterodroma cookii,Rare
Buller's Shearwater,Ardenna bulleri,Rare
Sooty Shearwater,Ardenna grisea,Near-threatened
Pink-footed Shearwater,Ardenna creatopus,Rare
Black-vented Shearwater,Puffinus opisthomelas,Endemic
 
SULIFORMES: Fregatidae

Magnificent Frigatebird,Fregata magnificens,
 
SULIFORMES: Sulidae

Blue-footed Booby,Sula nebouxii,
Masked Booby,Sula dactylatra,
Brown Booby,Sula leucogaster,
 
SULIFORMES: Phalacrocoracidae

Brandt's Cormorant,Phalacrocorax penicillatus,
Pelagic Cormorant,Phalacrocorax pelagicus,
Double-crested Cormorant,Phalacrocorax auritus,Rare
 
PELECANIFORMES: Ardeidae

Western Cattle Egret,Bubulcus ibis,
Great Blue Heron,Ardea herodias,
 
PELECANIFORMES: Pelecanidae

Brown Pelican,Pelecanus occidentalis,Rare
 
ACCIPITRIFORMES: Pandionidae

Western Osprey,Pandion haliaetus,
 
ACCIPITRIFORMES: Accipitridae

Red-tailed Hawk,Buteo jamaicensis,Extirpated
 
STRIGIFORMES: Tytonidae

American Barn Owl,Tyto furcata,Rare
 
STRIGIFORMES: Strigidae

Great Horned Owl,Bubo virginianus,Rare
Burrowing Owl,Athene cunicularia,
 
CORACIIFORMES: Alcedinidae

Belted Kingfisher,Megaceryle alcyon,
 
PICIFORMES: Picidae

Northern Flicker,Colaptes auratus,
 
FALCONIFORMES: Falconidae

Northern Crested Caracara,Caracara cheriway,
Guadalupe Caracara,Caracara lutosa,Endemic Extinct
American Kestrel,Falco sparverius,
Prairie Falcon,Falco mexicanus,Rare
Peregrine Falcon,Falco peregrinus,
 
PASSERIFORMES: Tyrannidae

Say's Phoebe,Sayornis saya,
Western Wood Pewee,Contopus sordidulus,
Least Flycatcher,Empidonax minimus,
Ash-throated Flycatcher,Myiarchus cinerascens,Rare
 
PASSERIFORMES: Laniidae

Loggerhead Shrike,Lanius ludovicianus,Rare
 
PASSERIFORMES: Vireonidae

Warbling Vireo,Vireo gilvus,Rare
 
PASSERIFORMES: Corvidae

Clark's Nutcracker,Nucifraga columbiana,Rare
 
PASSERIFORMES: Bombycillidae

Cedar Waxwing,Bombycilla cedrorum,Rare
 
PASSERIFORMES: Ptiliogonatidae

Phainopepla,Phainopepla nitens,Rare
 
PASSERIFORMES: Hirundinidae

Tree Swallow,Tachycineta bicolor,Rare
Northern Rough-winged Swallow,Stelgidopteryx serripennis,Rare
Barn Swallow,Hirundo rustica,
 
PASSERIFORMES: Regulidae

Ruby-crowned Kinglet,Regulus calendula,Rare
 
PASSERIFORMES: Troglodytidae

Rock Wren,Salpinctes obsoletus,
Bewick's Wren,Thryomanes bewickii,Extirpated
 
PASSERIFORMES: Sittidae

Red-breasted Nuthatch,Sitta canadensis,Extirpated
 
PASSERIFORMES: Certhiidae

Brown Creeper,Certhia americana,
 
PASSERIFORMES: Mimidae

Grey Catbird,Dumetella carolinensis,Rare
Northern Mockingbird,Mimus polyglottos,
Sage Thrasher,Oreoscoptes montanus,Rare
 
PASSERIFORMES: Sturnidae

Common Starling,Sturnus vulgaris,Introduced species
 
PASSERIFORMES: Turdidae

Varied Thrush,Ixoreus naevius,Rare
Mountain Bluebird,Sialia currucoides,Rare
Townsend's Solitaire,Myadestes townsendi,Rare
Grey-cheeked Thrush,Catharus minimus,Rare
Swainson's Thrush,Catharus ustulatus,
Hermit Thrush,Catharus guttatus,
American Robin,Turdus migratorius,Rare
 
PASSERIFORMES: Passeridae

House Sparrow,Passer domesticus,Introduced species
 
PASSERIFORMES: Motacillidae

Buff-bellied Pipit,Anthus rubescens,
 
PASSERIFORMES: Fringillidae

House Finch,Haemorhous mexicanus,
Red Crossbill,Loxia curvirostra,Extirpated
 
PASSERIFORMES: Passerellidae

Sooty Fox Sparrow,Passerella unalaschcensis,
Thick-billed Fox Sparrow,Passerella megarhyncha,
Lincoln's Sparrow,Melospiza lincolnii,Rare
White-crowned Sparrow,Zonotrichia leucophrys,
