GRUIFORMES: Rallidae

Gough Moorhen	Gallinula comeri	Endemic Vulnerable
 
CHARADRIIFORMES: Chionidae

Snowy Sheathbill	Chionis albus	Rare/Accidental
 
CHARADRIIFORMES: Scolopacidae

White-rumped Sandpiper	Calidris fuscicollis	Rare/Accidental
 
CHARADRIIFORMES: Laridae

Brown Noddy	Anous stolidus	
Kelp Gull	Larus dominicanus	Rare/Accidental
Arctic Tern	Sterna paradisaea	Rare/Accidental
Antarctic Tern	Sterna vittata	
 
CHARADRIIFORMES: Stercorariidae

Brown Skua	Stercorarius antarcticus	
Long-tailed Jaeger	Stercorarius longicaudus	Rare/Accidental
 
SPHENISCIFORMES: Spheniscidae

King Penguin	Aptenodytes patagonicus	Rare/Accidental
Gentoo Penguin	Pygoscelis papua	Rare/Accidental
Chinstrap Penguin	Pygoscelis antarcticus	Rare/Accidental
Southern Rockhopper Penguin	Eudyptes chrysocome	Vulnerable
Northern Rockhopper Penguin	Eudyptes moseleyi	Endangered
 
PROCELLARIIFORMES: Oceanitidae

Wilson's Storm Petrel	Oceanites oceanicus	
Grey-backed Storm Petrel	Garrodia nereis	
White-faced Storm Petrel	Pelagodroma marina	
White-bellied Storm Petrel	Fregetta grallaria	
Black-bellied Storm Petrel	Fregetta tropica	
 
PROCELLARIIFORMES: Diomedeidae

Wandering Albatross	Diomedea exulans	Vulnerable
Tristan Albatross	Diomedea dabbenena	Endemic (country/region) Critically endangered
Sooty Albatross	Phoebetria fusca	Endangered
Light-mantled Albatross	Phoebetria palpebrata	Near-threatened
Black-browed Albatross	Thalassarche melanophris	
Shy Albatross	Thalassarche cauta	
Salvin's Albatross	Thalassarche salvini	Rare/Accidental Vulnerable
Grey-headed Albatross	Thalassarche chrysostoma	Endangered
Atlantic Yellow-nosed Albatross	Thalassarche chlororhynchos	Endangered
Indian Yellow-nosed Albatross	Thalassarche carteri	Rare/Accidental Endangered
 
PROCELLARIIFORMES: Procellariidae

Southern Giant Petrel	Macronectes giganteus	
Northern Giant Petrel	Macronectes halli	
Southern Fulmar	Fulmarus glacialoides	
Cape Petrel	Daption capense	
Broad-billed Prion	Pachyptila vittata	
Salvin's Prion	Pachyptila salvini	
Antarctic Prion	Pachyptila desolata	
Slender-billed Prion	Pachyptila belcheri	
Kerguelen Petrel	Aphrodroma brevirostris	
Great-winged Petrel	Pterodroma macroptera	
White-headed Petrel	Pterodroma lessonii	
Atlantic Petrel	Pterodroma incerta	Endangered
Soft-plumaged Petrel	Pterodroma mollis	
Grey Petrel	Procellaria cinerea	Near-threatened
White-chinned Petrel	Procellaria aequinoctialis	Vulnerable
Spectacled Petrel	Procellaria conspicillata	Endemic (country/region) Vulnerable
Scopoli's Shearwater	Calonectris diomedea	Rare/Accidental
Sooty Shearwater	Ardenna grisea	Near-threatened
Great Shearwater	Ardenna gravis	
Tropical Shearwater	Puffinus bailloni	
Subantarctic Shearwater	Puffinus elegans	
Common Diving Petrel	Pelecanoides urinatrix	
 
PELECANIFORMES: Ardeidae

Western Cattle Egret	Bubulcus ibis	Rare/Accidental
Cocoi Heron	Ardea cocoi	Rare/Accidental
Great Egret	Ardea alba	Rare/Accidental
Snowy Egret	Egretta thula	Rare/Accidental
 
PASSERIFORMES: Hirundinidae

Barn Swallow	Hirundo rustica	Rare/Accidental
 
PASSERIFORMES: Phylloscopidae

Willow Warbler	Phylloscopus trochilus	Rare/Accidental
 
PASSERIFORMES: Thraupidae

Gough Finch	Rowettia goughensis	Endemic Critically endangered
