Struthio molybdophanes	Somali Ostrich
Urocolius indicus	Red-faced Mousebird
Urocolius macrourus	Blue-naped Mousebird
Colius striatus	Speckled Mousebird
Colius leucocephalus	White-headed Mousebird
Colius castanotus	Red-backed Mousebird
Colius colius	White-backed Mousebird
Leptosomus discolor	Cuckoo-roller
Apaloderma narina	Narina Trogon
Apaloderma aequatoriale	Bare-cheeked Trogon
Apaloderma vittatum	Bar-tailed Trogon
Apalharpactes reinwardtii	Javan Trogon
Apalharpactes mackloti	Sumatran Trogon
Harpactes oreskios	Orange-breasted Trogon
Harpactes fasciatus	Malabar Trogon
Harpactes kasumba	Red-naped Trogon
Harpactes diardii	Diard's Trogon
Harpactes ardens	Philippine Trogon
Harpactes whiteheadi	Whitehead's Trogon
Harpactes orrhophaeus	Cinnamon-rumped Trogon
Harpactes duvaucelii	Scarlet-rumped Trogon
Harpactes erythrocephalus	Red-headed Trogon
Harpactes wardi	Ward's Trogon
Euptilotis neoxenus	Eared Quetzal
Pharomachrus pavoninus	Pavonine Quetzal
Pharomachrus auriceps	Golden-headed Quetzal
Pharomachrus mocinno	Resplendent Quetzal
Pharomachrus fulgidus	White-tipped Quetzal
Pharomachrus antisianus	Crested Quetzal
Priotelus roseigaster	Hispaniolan Trogon
Priotelus temnurus	Cuban Trogon
Trogon clathratus	Lattice-tailed Trogon
Trogon massena	Slaty-tailed Trogon
Trogon comptus	Choco Trogon
Trogon mesurus	Ecuadorian Trogon
Trogon melanurus	Black-tailed Trogon
Trogon melanocephalus	Black-headed Trogon
Trogon citreolus	Citreoline Trogon
Trogon chionurus	White-tailed Trogon
Trogon viridis	Green-backed Trogon
Trogon bairdii	Baird's Trogon
Trogon caligatus	Gartered Trogon
Trogon violaceus	Guianan Trogon
Trogon ramonianus	Amazonian Trogon
Trogon curucui	Blue-crowned Trogon
Trogon surrucura	Surucua Trogon
Trogon tenellus	Graceful Black-throated Trogon
Trogon cupreicauda	Choco Black-throated Trogon
Trogon rufus	Amazonian Black-throated Trogon
Trogon chrysochloros	Atlantic Black-throated Trogon
Trogon elegans	Elegant Trogon
Trogon ambiguus	Coppery-tailed Trogon
Trogon mexicanus	Mountain Trogon
Trogon collaris	Collared Trogon
Trogon personatus	Masked Trogon
Upupa epops	Common Hoopoe
Upupa marginata	Madagascar Hoopoe
Upupa antaios	St. Helena Hoopoe
Rhinopomastus castaneiceps	Forest Wood Hoopoe
Rhinopomastus aterrimus	Black Scimitarbill
Rhinopomastus cyanomelas	Common Scimitarbill
Rhinopomastus minor	Abyssinian Scimitarbill
Phoeniculus purpureus	Green Wood Hoopoe
Phoeniculus damarensis	Violet Wood Hoopoe
Phoeniculus somaliensis	Black-billed Wood Hoopoe
Phoeniculus bollei	White-headed Wood Hoopoe
Bucorvus abyssinicus	Abyssinian Ground Hornbill
Bucorvus leadbeateri	Southern Ground Hornbill
Lophoceros camurus	Red-billed Dwarf Hornbill
Lophoceros alboterminatus	Crowned Hornbill
Lophoceros bradfieldi	Bradfield's Hornbill
Lophoceros semifasciatus	West African Pied Hornbill
Lophoceros fasciatus	Congo Pied Hornbill
Lophoceros hemprichii	Hemprich's Hornbill
Lophoceros nasutus	African Grey Hornbill
Lophoceros pallidirostris	Pale-billed Hornbill
Tockus flavirostris	Eastern Yellow-billed Hornbill
Tockus leucomelas	Southern Yellow-billed Hornbill
Tockus jacksoni	Jackson's Hornbill
Tockus deckeni	Von der Decken's Hornbill
Tockus monteiri	Monteiro's Hornbill
Tockus rufirostris	Southern Red-billed Hornbill
Tockus damarensis	Damara Red-billed Hornbill
Tockus ruahae	Tanzanian Red-billed Hornbill
Tockus kempi	Western Red-billed Hornbill
Tockus erythrorhynchus	Northern Red-billed Hornbill
Berenicornis comatus	White-crowned Hornbill
Horizocerus albocristatus	Western Long-tailed Hornbill
Horizocerus cassini	Eastern Long-tailed Hornbill
Horizocerus hartlaubi	Western Dwarf Hornbill
Horizocerus granti	Eastern Dwarf Hornbill
Ceratogymna elata	Yellow-casqued Hornbill
Ceratogymna atrata	Black-casqued Hornbill
Bycanistes brevis	Silvery-cheeked Hornbill
Bycanistes subcylindricus	Black-and-white-casqued Hornbill
Bycanistes cylindricus	Brown-cheeked Hornbill
Bycanistes albotibialis	White-thighed Hornbill
Bycanistes bucinator	Trumpeter Hornbill
Bycanistes fistulator	Piping Hornbill
Rhinoplax vigil	Helmeted Hornbill
Buceros hydrocorax	Rufous Hornbill
Buceros rhinoceros	Rhinoceros Hornbill
Buceros bicornis	Great Hornbill
Anorrhinus galeritus	Bushy-crested Hornbill
Anorrhinus austeni	Austen's Brown Hornbill
Anorrhinus tickelli	Tickell's Brown Hornbill
Ocyceros birostris	Indian Grey Hornbill
Ocyceros griseus	Malabar Grey Hornbill
Ocyceros gingalensis	Sri Lanka Grey Hornbill
Anthracoceros malayanus	Black Hornbill
Anthracoceros montani	Sulu Hornbill
Anthracoceros coronatus	Malabar Pied Hornbill
Anthracoceros albirostris	Oriental Pied Hornbill
Anthracoceros marchei	Palawan Hornbill
Aceros nipalensis	Rufous-necked Hornbill
Rhyticeros cassidix	Knobbed Hornbill
Rhyticeros everetti	Sumba Hornbill
Rhyticeros undulatus	Wreathed Hornbill
Rhyticeros subruficollis	Plain-pouched Hornbill
Rhyticeros narcondami	Narcondam Hornbill
Rhyticeros plicatus	Blyth's Hornbill
Rhabdotorrhinus exarhatus	Sulawesi Hornbill
Rhabdotorrhinus corrugatus	Wrinkled Hornbill
Rhabdotorrhinus waldeni	Walden's Hornbill
Rhabdotorrhinus leucocephalus	Writhed Hornbill
Penelopides panini	Visayan Hornbill
Penelopides manillae	Luzon Hornbill
Penelopides mindorensis	Mindoro Hornbill
Penelopides samarensis	Samar Hornbill
Penelopides affinis	Mindanao Hornbill
Geobiastes squamiger	Scaly Ground Roller
Brachypteracias leptosomus	Short-legged Ground Roller
Uratelornis chimaera	Long-tailed Ground Roller
Atelornis pittoides	Pitta-like Ground Roller
Atelornis crossleyi	Rufous-headed Ground Roller
Eurystomus gularis	Blue-throated Roller
Eurystomus glaucurus	Broad-billed Roller
Eurystomus azureus	Azure Dollarbird
Eurystomus orientalis	Oriental Dollarbird
Coracias cyanogaster	Blue-bellied Roller
Coracias spatulatus	Racket-tailed Roller
Coracias naevius	Purple Roller
Coracias benghalensis	Indian Roller
Coracias temminckii	Purple-winged Roller
Coracias affinis	Indochinese Roller
Coracias caudatus	Lilac-breasted Roller
Coracias abyssinicus	Abyssinian Roller
Coracias garrulus	European Roller
Nyctyornis amictus	Red-bearded Bee-eater
Nyctyornis athertoni	Blue-bearded Bee-eater
Meropogon forsteni	Purple-bearded Bee-eater
Merops breweri	Black-headed Bee-eater
Merops bullockoides	White-fronted Bee-eater
Merops bulocki	Red-throated Bee-eater
Merops revoilii	Somali Bee-eater
Merops boehmi	B?hm's Bee-eater
Merops gularis	Black Bee-eater
Merops muelleri	Blue-headed Bee-eater
Merops mentalis	Blue-moustached Bee-eater
Merops variegatus	Blue-breasted Bee-eater
Merops pusillus	Little Bee-eater
Merops hirundineus	Swallow-tailed Bee-eater
Merops lafresnayii	Ethiopian Bee-eater
Merops oreobates	Cinnamon-chested Bee-eater
Merops albicollis	White-throated Bee-eater
Merops malimbicus	Rosy Bee-eater
Merops nubicus	Northern Carmine Bee-eater
Merops nubicoides	Southern Carmine Bee-eater
Merops leschenaulti	Chestnut-headed Bee-eater
Merops viridis	Blue-throated Bee-eater
Merops americanus	Rufous-crowned Bee-eater
Merops viridissimus	African Green Bee-eater
Merops cyanophrys	Arabian Green Bee-eater
Merops orientalis	Asian Green Bee-eater
Merops apiaster	European Bee-eater
Merops ornatus	Rainbow Bee-eater
Merops philippinus	Blue-tailed Bee-eater
Merops superciliosus	Olive Bee-eater
Merops persicus	Blue-cheeked Bee-eater
Todus multicolor	Cuban Tody
Todus subulatus	Broad-billed Tody
Todus angustirostris	Narrow-billed Tody
Todus todus	Jamaican Tody
Todus mexicanus	Puerto Rican Tody
Hylomanes momotula	Tody Motmot
Eumomota superciliosa	Turquoise-browed Motmot
Electron carinatum	Keel-billed Motmot
Electron platyrhynchum	Broad-billed Motmot
Aspatha gularis	Blue-throated Motmot
Baryphthengus ruficapillus	Rufous-capped Motmot
Baryphthengus martii	Rufous Motmot
Momotus mexicanus	Russet-crowned Motmot
Momotus coeruliceps	Blue-capped Motmot
Momotus lessonii	Lesson's Motmot
Momotus subrufescens	Whooping Motmot
Momotus bahamensis	Trinidad Motmot
Momotus momota	Amazonian Motmot
Momotus aequatorialis	Andean Motmot
Ispidina lecontei	African Dwarf Kingfisher
Ispidina picta	African Pygmy Kingfisher
Corythornis madagascariensis	Madagascar Pygmy Kingfisher
Corythornis leucogaster	White-bellied Kingfisher
Corythornis vintsioides	Malagasy Kingfisher
Corythornis cristatus	Malachite Kingfisher
Alcedo euryzona	Javan Blue-banded Kingfisher
Alcedo peninsulae	Malaysian Blue-banded Kingfisher
Alcedo hercules	Blyth's Kingfisher
Alcedo meninting	Blue-eared Kingfisher
Alcedo semitorquata	Half-collared Kingfisher
Alcedo quadribrachys	Shining-blue Kingfisher
Alcedo coerulescens	Cerulean Kingfisher
Alcedo atthis	Common Kingfisher
Ceyx azureus	Azure Kingfisher
Ceyx websteri	Bismarck Kingfisher
Ceyx cyanopectus	Indigo-banded Kingfisher
Ceyx flumenicola	Northern Silvery Kingfisher
Ceyx argentatus	Southern Silvery Kingfisher
Ceyx pusillus	Little Kingfisher
Ceyx erithaca	Black-backed Dwarf Kingfisher
Ceyx rufidorsa	Rufous-backed Dwarf Kingfisher
Ceyx melanurus	Philippine Dwarf Kingfisher
Ceyx sangirensis	Sangihe Dwarf Kingfisher
Ceyx fallax	Sulawesi Dwarf Kingfisher
Ceyx margarethae	Dimorphic Dwarf Kingfisher
Ceyx wallacii	Sula Dwarf Kingfisher
Ceyx lepidus	Moluccan Dwarf Kingfisher
Ceyx cajeli	Buru Dwarf Kingfisher
Ceyx solitarius	Papuan Dwarf Kingfisher
Ceyx dispar	Manus Dwarf Kingfisher
Ceyx mulcatus	New Ireland Dwarf Kingfisher
Ceyx sacerdotis	New Britain Dwarf Kingfisher
Ceyx collectoris	New Georgia Dwarf Kingfisher
Ceyx meeki	North Solomons Dwarf Kingfisher
Ceyx nigromaxilla	Guadalcanal Dwarf Kingfisher
Ceyx gentianus	Makira Dwarf Kingfisher
Megaceryle alcyon	Belted Kingfisher
Megaceryle torquata	Ringed Kingfisher
Megaceryle maxima	Giant Kingfisher
Megaceryle lugubris	Crested Kingfisher
Ceryle rudis	Pied Kingfisher
Chloroceryle amazona	Amazon Kingfisher
Chloroceryle aenea	American Pygmy Kingfisher
Chloroceryle americana	Green Kingfisher
Chloroceryle inda	Green-and-rufous Kingfisher
Lacedo pulchella	Banded Kingfisher
Pelargopsis amauroptera	Brown-winged Kingfisher
Pelargopsis capensis	Stork-billed Kingfisher
Pelargopsis melanorhyncha	Great-billed Kingfisher
Halcyon coromanda	Ruddy Kingfisher
Halcyon badia	Chocolate-backed Kingfisher
Halcyon malimbica	Blue-breasted Kingfisher
Halcyon senegaloides	Mangrove Kingfisher
Halcyon senegalensis	Woodland Kingfisher
Halcyon chelicuti	Striped Kingfisher
Halcyon albiventris	Brown-hooded Kingfisher
Halcyon leucocephala	Grey-headed Kingfisher
Halcyon pileata	Black-capped Kingfisher
Halcyon cyanoventris	Javan Kingfisher
Halcyon gularis	Brown-breasted Kingfisher
Halcyon smyrnensis	White-throated Kingfisher
Cittura cyanotis	Sulawesi Lilac Kingfisher
Cittura sanghirensis	Sangihe Lilac Kingfisher
Tanysiptera hydrocharis	Little Paradise Kingfisher
Tanysiptera galatea	Common Paradise Kingfisher
Tanysiptera ellioti	Kofiau Paradise Kingfisher
Tanysiptera riedelii	Biak Paradise Kingfisher
Tanysiptera carolinae	Numfor Paradise Kingfisher
Tanysiptera nympha	Red-breasted Paradise Kingfisher
Tanysiptera danae	Brown-headed Paradise Kingfisher
Tanysiptera sylvia	Buff-breasted Paradise Kingfisher
Tanysiptera nigriceps	Black-capped Paradise Kingfisher
Melidora macrorrhina	Hook-billed Kingfisher
Dacelo novaeguineae	Laughing Kookaburra
Dacelo leachii	Blue-winged Kookaburra
Dacelo tyro	Spangled Kookaburra
Dacelo gaudichaud	Rufous-bellied Kookaburra
Dacelo rex	Shovel-billed Kookaburra
Caridonax fulgidus	White-rumped Kingfisher
Actenoides bougainvillei	Moustached Kingfisher
Actenoides concretus	Rufous-collared Kingfisher
Actenoides lindsayi	Spotted Wood Kingfisher
Actenoides hombroni	Blue-capped Kingfisher
Actenoides monachus	Green-backed Kingfisher
Actenoides princeps	Scaly-breasted Kingfisher
Syma megarhyncha	Mountain Kingfisher
Syma torotoro	Yellow-billed Kingfisher
Todiramphus nigrocyaneus	Blue-black Kingfisher
Todiramphus winchelli	Rufous-lored Kingfisher
Todiramphus diops	Blue-and-white Kingfisher
Todiramphus lazuli	Lazuli Kingfisher
Todiramphus pyrrhopygius	Red-backed Kingfisher
Todiramphus macleayii	Forest Kingfisher
Todiramphus albonotatus	White-mantled Kingfisher
Todiramphus leucopygius	Ultramarine Kingfisher
Todiramphus farquhari	Vanuatu Kingfisher
Todiramphus godeffroyi	Marquesan Kingfisher
Todiramphus ruficollaris	Mewing Kingfisher
Todiramphus veneratus	Society Kingfisher
Todiramphus gambieri	Tuamotu Kingfisher
Todiramphus tutus	Chattering Kingfisher
Todiramphus sacer	Pacific Kingfisher
Todiramphus pelewensis	Rusty-capped Kingfisher
Todiramphus cinnamominus	Guam Kingfisher
Todiramphus reichenbachii	Pohnpei Kingfisher
Todiramphus recurvirostris	Flat-billed Kingfisher
Todiramphus colonus	Islet Kingfisher
Todiramphus sordidus	Torresian Kingfisher
Todiramphus sanctus	Sacred Kingfisher
Todiramphus chloris	Collared Kingfisher
Todiramphus saurophagus	Beach Kingfisher
Todiramphus albicilla	Mariana Kingfisher
Todiramphus tristrami	Melanesian Kingfisher
Todiramphus funebris	Sombre Kingfisher
Todiramphus enigma	Talaud Kingfisher
Todiramphus australasia	Cinnamon-banded Kingfisher
Jacamaralcyon tridactyla	Three-toed Jacamar
Brachygalba albogularis	White-throated Jacamar
Brachygalba lugubris	Brown Jacamar
Brachygalba goeringi	Pale-headed Jacamar
Brachygalba salmoni	Dusky-backed Jacamar
Jacamerops aureus	Great Jacamar
Galbalcyrhynchus leucotis	White-eared Jacamar
Galbalcyrhynchus purusianus	Purus Jacamar
Galbula albirostris	Yellow-billed Jacamar
Galbula cyanicollis	Blue-necked Jacamar
Galbula ruficauda	Rufous-tailed Jacamar
Galbula galbula	Green-tailed Jacamar
Galbula tombacea	White-chinned Jacamar
Galbula cyanescens	Bluish-fronted Jacamar
Galbula pastazae	Coppery-chested Jacamar
Galbula chalcothorax	Purplish Jacamar
Galbula leucogastra	Bronzy Jacamar
Galbula dea	Paradise Jacamar
Bucco macrodactylus	Chestnut-capped Puffbird
Bucco tamatia	Spotted Puffbird
Bucco noanamae	Sooty-capped Puffbird
Bucco capensis	Collared Puffbird
Nystalus radiatus	Barred Puffbird
Nystalus obamai	Western Striolated Puffbird
Nystalus striolatus	Eastern Striolated Puffbird
Nystalus chacuru	White-eared Puffbird
Nystalus maculatus	Spot-backed Puffbird
Chelidoptera tenebrosa	Swallow-winged Puffbird
Monasa atra	Black Nunbird
Monasa nigrifrons	Black-fronted Nunbird
Monasa morphoeus	White-fronted Nunbird
Monasa flavirostris	Yellow-billed Nunbird
Nonnula rubecula	Rusty-breasted Nunlet
Nonnula sclateri	Fulvous-chinned Nunlet
Nonnula brunnea	Brown Nunlet
Nonnula frontalis	Grey-cheeked Nunlet
Nonnula ruficapilla	Rufous-capped Nunlet
Nonnula amaurocephala	Chestnut-headed Nunlet
Malacoptila fusca	White-chested Puffbird
Malacoptila semicincta	Semicollared Puffbird
Malacoptila striata	Crescent-chested Puffbird
Malacoptila rufa	Rufous-necked Puffbird
Malacoptila panamensis	White-whiskered Puffbird
Malacoptila fulvogularis	Black-streaked Puffbird
Malacoptila mystacalis	Moustached Puffbird
Hapaloptila castanea	White-faced Nunbird
Micromonacha lanceolata	Lanceolated Monklet
Hypnelus bicinctus	Two-banded Puffbird
Hypnelus ruficollis	Russet-throated Puffbird
Notharchus hyperrhynchus	White-necked Puffbird
Notharchus macrorhynchos	Guianan Puffbird
Notharchus swainsoni	Buff-bellied Puffbird
Notharchus pectoralis	Black-breasted Puffbird
Notharchus ordii	Brown-banded Puffbird
Notharchus tectus	Pied Puffbird
Caloramphus hayii	Sooty Barbet
Caloramphus fuliginosus	Brown Barbet
Psilopogon malabaricus	Malabar Barbet
Psilopogon rubricapillus	Crimson-fronted Barbet
Psilopogon haemacephalus	Coppersmith Barbet
Psilopogon cyanotis	Blue-eared Barbet
Psilopogon duvaucelii	Black-eared Barbet
Psilopogon australis	Yellow-eared Barbet
Psilopogon eximius	Bornean Barbet
Psilopogon pyrolophus	Fire-tufted Barbet
Psilopogon virens	Great Barbet
Psilopogon lagrandieri	Red-vented Barbet
Psilopogon rafflesii	Red-crowned Barbet
Psilopogon mystacophanos	Red-throated Barbet
Psilopogon javensis	Black-banded Barbet
Psilopogon pulcherrimus	Golden-naped Barbet
Psilopogon henricii	Yellow-crowned Barbet
Psilopogon armillaris	Flame-fronted Barbet
Psilopogon faiostrictus	Green-eared Barbet
Psilopogon lineatus	Lineated Barbet
Psilopogon zeylanicus	Brown-headed Barbet
Psilopogon viridis	White-cheeked Barbet
Psilopogon flavifrons	Yellow-fronted Barbet
Psilopogon franklinii	Golden-throated Barbet
Psilopogon auricularis	Necklaced Barbet
Psilopogon monticola	Mountain Barbet
Psilopogon corvinus	Brown-throated Barbet
Psilopogon chrysopogon	Golden-whiskered Barbet
Psilopogon incognitus	Moustached Barbet
Psilopogon nuchalis	Taiwan Barbet
Psilopogon faber	Chinese Barbet
Psilopogon asiaticus	Blue-throated Barbet
Psilopogon annamensis	Indochinese Barbet
Psilopogon oorti	Black-browed Barbet
Psilopogon chersonesus	Turquoise-throated Barbet
Trachylaemus purpuratus	Eastern Yellow-billed Barbet
Trachylaemus goffinii	Western Yellow-billed Barbet
Trachyphonus vaillantii	Crested Barbet
Trachyphonus erythrocephalus	Red-and-yellow Barbet
Trachyphonus margaritatus	Yellow-breasted Barbet
Trachyphonus darnaudii	D'Arnaud's Barbet
Cryptolybia olivacea	Green Barbet
Buccanodon duchaillui	Yellow-spotted Barbet
Stactolaema leucotis	White-eared Barbet
Stactolaema whytii	Whyte's Barbet
Stactolaema anchietae	Anchieta's Barbet
Gymnobucco bonapartei	Grey-throated Barbet
Gymnobucco sladeni	Sladen's Barbet
Gymnobucco peli	Bristle-nosed Barbet
Gymnobucco calvus	Naked-faced Barbet
Pogoniulus scolopaceus	Speckled Tinkerbird
Pogoniulus simplex	Green Tinkerbird
Pogoniulus leucomystax	Moustached Tinkerbird
Pogoniulus coryphaea	Western Tinkerbird
Pogoniulus atroflavus	Red-rumped Tinkerbird
Pogoniulus subsulphureus	Yellow-throated Tinkerbird
Pogoniulus bilineatus	Yellow-rumped Tinkerbird
Pogoniulus uropygialis	Northern Red-fronted Tinkerbird
Pogoniulus pusillus	Southern Red-fronted Tinkerbird
Pogoniulus chrysoconus	Yellow-fronted Tinkerbird
Tricholaema hirsuta	Hairy-breasted Barbet
Tricholaema diademata	Red-fronted Barbet
Tricholaema frontata	Miombo Pied Barbet
Tricholaema leucomelas	Acacia Pied Barbet
Tricholaema lacrymosa	Spot-flanked Barbet
Tricholaema melanocephala	Black-throated Barbet
Pogonornis melanopterus	Brown-breasted Barbet
Pogonornis minor	Black-backed Barbet
Pogonornis bidentatus	Double-toothed Barbet
Pogonornis dubius	Bearded Barbet
Pogonornis rolleti	Black-breasted Barbet
Lybius undatus	Banded Barbet
Lybius vieilloti	Vieillot's Barbet
Lybius leucocephalus	White-headed Barbet
Lybius chaplini	Chaplin's Barbet
Lybius rubrifacies	Red-faced Barbet
Lybius guifsobalito	Black-billed Barbet
Lybius torquatus	Black-collared Barbet
Eubucco richardsoni	Lemon-throated Barbet
Eubucco tucinkae	Scarlet-hooded Barbet
Eubucco bourcierii	Red-headed Barbet
Eubucco versicolor	Versicolored Barbet
Capito aurovirens	Scarlet-crowned Barbet
Capito dayi	Black-girdled Barbet
Capito maculicoronatus	Spot-crowned Barbet
Capito squamatus	Orange-fronted Barbet
Capito hypoleucus	White-mantled Barbet
Capito wallacei	Scarlet-banded Barbet
Capito fitzpatricki	Sira Barbet
Capito quinticolor	Five-colored Barbet
Capito brunneipectus	Brown-chested Barbet
Capito niger	Black-spotted Barbet
Capito auratus	Gilded Barbet
Semnornis frantzii	Prong-billed Barbet
Semnornis ramphastinus	Toucan Barbet
Ramphastos toco	Toco Toucan
Ramphastos ambiguus	Yellow-throated Toucan
Ramphastos tucanus	White-throated Toucan
Ramphastos sulfuratus	Keel-billed Toucan
Ramphastos brevis	Choco Toucan
Ramphastos vitellinus	Channel-billed Toucan
Ramphastos dicolorus	Red-breasted Toucan
Pteroglossus bailloni	Saffron Toucanet
Pteroglossus viridis	Green Aracari
Pteroglossus inscriptus	Lettered Aracari
Pteroglossus torquatus	Collared Aracari
Pteroglossus erythropygius	Pale-mandibled Aracari
Pteroglossus frantzii	Fiery-billed Aracari
Pteroglossus aracari	Black-necked Aracari
Pteroglossus castanotis	Chestnut-eared Aracari
Pteroglossus pluricinctus	Many-banded Aracari
Pteroglossus azara	Ivory-billed Aracari
Pteroglossus beauharnaisii	Curl-crested Aracari
Pteroglossus bitorquatus	Red-necked Aracari
Aulacorhynchus prasinus	Northern Emerald Toucanet
Aulacorhynchus albivitta	Southern Emerald Toucanet
Aulacorhynchus sulcatus	Groove-billed Toucanet
Aulacorhynchus derbianus	Chestnut-tipped Toucanet
Aulacorhynchus whitelianus	Tepui Toucanet
Aulacorhynchus haematopygus	Crimson-rumped Toucanet
Aulacorhynchus huallagae	Yellow-browed Toucanet
Aulacorhynchus coeruleicinctis	Blue-banded Toucanet
Andigena hypoglauca	Grey-breasted Mountain Toucan
Andigena laminirostris	Plate-billed Mountain Toucan
Andigena cucullata	Hooded Mountain Toucan
Andigena nigrirostris	Black-billed Mountain Toucan
Selenidera spectabilis	Yellow-eared Toucanet
Selenidera piperivora	Guianan Toucanet
Selenidera reinwardtii	Golden-collared Toucanet
Selenidera nattereri	Tawny-tufted Toucanet
Selenidera gouldii	Gould's Toucanet
Selenidera maculirostris	Spot-billed Toucanet
Prodotiscus insignis	Cassin's Honeybird
Prodotiscus zambesiae	Green-backed Honeybird
Prodotiscus regulus	Brown-backed Honeybird
Melichneutes robustus	Lyre-tailed Honeyguide
Melignomon zenkeri	Zenker's Honeyguide
Melignomon eisentrauti	Yellow-footed Honeyguide
Indicator pumilio	Dwarf Honeyguide
Indicator willcocksi	Willcocks's Honeyguide
Indicator meliphilus	Pallid Honeyguide
Indicator exilis	Least Honeyguide
Indicator minor	Lesser Honeyguide
Indicator maculatus	Spotted Honeyguide
Indicator variegatus	Scaly-throated Honeyguide
Indicator xanthonotus	Yellow-rumped Honeyguide
Indicator archipelagicus	Malaysian Honeyguide
Indicator indicator	Greater Honeyguide
Jynx ruficollis	Red-throated Wryneck
Jynx torquilla	Eurasian Wryneck
Picumnus innominatus	Speckled Piculet
Picumnus aurifrons	Bar-breasted Piculet
Picumnus pumilus	Orinoco Piculet
Picumnus lafresnayi	Lafresnaye's Piculet
Picumnus exilis	Golden-spangled Piculet
Picumnus sclateri	Ecuadorian Piculet
Picumnus squamulatus	Scaled Piculet
Picumnus spilogaster	White-bellied Piculet
Picumnus minutissimus	Arrowhead Piculet
Picumnus pygmaeus	Spotted Piculet
Picumnus steindachneri	Speckle-chested Piculet
Picumnus varzeae	Varzea Piculet
Picumnus cirratus	White-barred Piculet
Picumnus dorbignyanus	Ocellated Piculet
Picumnus temminckii	Ochre-collared Piculet
Picumnus albosquamatus	White-wedged Piculet
Picumnus fuscus	Rusty-necked Piculet
Picumnus rufiventris	Rufous-breasted Piculet
Picumnus limae	Ochraceous Piculet
Picumnus nebulosus	Mottled Piculet
Picumnus castelnau	Plain-breasted Piculet
Picumnus subtilis	Fine-barred Piculet
Picumnus olivaceus	Olivaceous Piculet
Picumnus granadensis	Greyish Piculet
Picumnus cinnamomeus	Chestnut Piculet
Verreauxia africana	African Piculet
Sasia abnormis	Rufous Piculet
Sasia ochracea	White-browed Piculet
Nesoctites micromegas	Antillean Piculet
Hemicircus canente	Heart-spotted Woodpecker
Hemicircus concretus	Grey-and-buff Woodpecker
Micropternus brachyurus	Rufous Woodpecker
Meiglyptes tukki	Buff-necked Woodpecker
Meiglyptes grammithorax	Buff-rumped Woodpecker
Meiglyptes tristis	Zebra Woodpecker
Meiglyptes jugularis	Black-and-buff Woodpecker
Gecinulus grantia	Pale-headed Woodpecker
Gecinulus viridis	Bamboo Woodpecker
Gecinulus rafflesii	Olive-backed Woodpecker
Dinopium shorii	Himalayan Flameback
Dinopium javanense	Common Flameback
Dinopium everetti	Spot-throated Flameback
Dinopium benghalense	Black-rumped Flameback
Dinopium psarodes	Red-backed Flameback
Picus puniceus	Crimson-winged Woodpecker
Picus chlorolophus	Lesser Yellownape
Picus squamatus	Scaly-bellied Woodpecker
Picus xanthopygaeus	Streak-throated Woodpecker
Picus rabieri	Red-collared Woodpecker
Picus vittatus	Laced Woodpecker
Picus viridanus	Streak-breasted Woodpecker
Picus awokera	Japanese Green Woodpecker
Picus canus	Grey-headed Woodpecker
Picus erythropygius	Black-headed Woodpecker
Picus vaillantii	Levaillant's Woodpecker
Picus sharpei	Iberian Green Woodpecker
Picus viridis	European Green Woodpecker
Chrysophlegma miniaceum	Banded Woodpecker
Chrysophlegma flavinucha	Greater Yellownape
Chrysophlegma mentale	Checker-throated Woodpecker
Pardipicus caroli	Brown-eared Woodpecker
Pardipicus nivosus	Buff-spotted Woodpecker
Geocolaptes olivaceus	Ground Woodpecker
Campethera tullbergi	Tullberg's Woodpecker
Campethera taeniolaema	Fine-banded Woodpecker
Campethera maculosa	Green-backed Woodpecker
Campethera nubica	Nubian Woodpecker
Campethera punctuligera	Fine-spotted Woodpecker
Campethera bennettii	Bennett's Woodpecker
Campethera scriptoricauda	Speckle-throated Woodpecker
Campethera notata	Knysna Woodpecker
Campethera abingoni	Golden-tailed Woodpecker
Campethera mombassica	Mombasa Woodpecker
Mulleripicus fulvus	Ashy Woodpecker
Mulleripicus funebris	Northern Sooty Woodpecker
Mulleripicus fuliginosus	Southern Sooty Woodpecker
Mulleripicus pulverulentus	Great Slaty Woodpecker
Dryocopus pileatus	Pileated Woodpecker
Dryocopus schulzii	Black-bodied Woodpecker
Dryocopus lineatus	Lineated Woodpecker
Dryocopus martius	Black Woodpecker
Dryocopus hodgei	Andaman Woodpecker
Dryocopus javensis	White-bellied Woodpecker
Celeus loricatus	Cinnamon Woodpecker
Celeus torquatus	Ringed Woodpecker
Celeus galeatus	Helmeted Woodpecker
Celeus castaneus	Chestnut-colored Woodpecker
Celeus undatus	Variable Woodpecker
Celeus flavus	Cream-colored Woodpecker
Celeus spectabilis	Rufous-headed Woodpecker
Celeus obrieni	Kaempfer's Woodpecker
Celeus ochraceus	Ochre-backed Woodpecker
Celeus elegans	Chestnut Woodpecker
Celeus lugubris	Pale-crested Woodpecker
Celeus flavescens	Blond-crested Woodpecker
Piculus simplex	Rufous-winged Woodpecker
Piculus callopterus	Stripe-cheeked Woodpecker
Piculus leucolaemus	White-throated Woodpecker
Piculus litae	Lita Woodpecker
Piculus flavigula	Yellow-throated Woodpecker
Piculus chrysochloros	Golden-green Woodpecker
Piculus aurulentus	Yellow-browed Woodpecker
Colaptes rubiginosus	Golden-olive Woodpecker
Colaptes auricularis	Grey-crowned Woodpecker
